"TITLE"|"AUTHOR"|"PACE"|"LENGTH"|"PLOT_COMPLEXITY"|"THEMES"|"MOOD"
"Wynd, Book One: The Flight of the Prince"|"Michael Dialynas, James Tynion IV, Aditya Bidikar"|"7"|"8"|"9"|"6|7"|"7"
"The Great Sex Rescue: The Lies You've Been Taught and How to Recover What God Intended"|"Joanna Sawatsky, Rebecca Gregoire Lindenbach, Sheila Wray Gregoire"|""|""|""|""|""
"The Kind Worth Saving"|"Peter  Swanson"|""|""|""|""|""
"The Family Game"|"Catherine Steadman"|""|""|""|""|""
"Ruining Dahlia"|"C.R. Jane"|""|""|""|""|""
"A Game of Fate"|"Scarlett St.  Clair"|""|""|""|""|""
"Scattershot: Life, Music, Elton, and Me"|"Bernie Taupin"|"7"|"8"|"9"|"6|5"|"5"
"Crooked Heart"|"Candace Wondrak"|""|""|""|""|""
"The Roommate"|"Rosie Danan"|"8"|"7"|"9"|"8|7"|"7"
"Uncultured: A Memoir"|"Daniella Mestyanek Young"|""|""|""|""|""
"Political Prisoner: Persecuted, Prosecuted, but Not Silenced"|"Paul Manafort"|""|""|""|""|""
"Bad, Bad Seymour Brown"|"Susan Isaacs"|""|""|""|""|""
"Murder Book"|"Thomas Perry"|""|""|""|""|""
"Fox Creek"|"William Kent Krueger"|""|""|""|""|""
"The Case Against the Sexual Revolution: A New Guide to Sex in the 21st Century"|"Louise Perry"|""|""|""|""|""
"A Kingdom of Ruin"|"K.F. Breene"|""|""|""|""|""
"Woke Racism: How a New Religion Has Betrayed Black America"|"John McWhorter"|""|""|""|""|""
"A Throne of Ruin"|"K.F. Breene"|""|""|""|""|""
"Breath Better Spent: Living Black Girlhood"|"DaMaris B. Hill"|""|""|""|""|""
"What Is a Woman?: One Man's Journey to Answer the Question of a Generation"|"Matt  Walsh"|""|""|""|""|""
"Unbroken Bonds"|"J.  Bree"|""|""|""|""|""
"The Dancer and the Devil: Stalin and the Murder of Anna Pavlova"|"Sarah C. Wynne, John E. O'Neill"|""|""|""|""|""
"Unnatural Death"|"Patricia Cornwell"|""|""|""|""|""
"Cotswolds Holiday"|"Kasey Stockton"|""|""|""|""|""
"Forced Bonds"|"J.  Bree"|""|""|""|""|""
"Hotline"|"Dimitri Nasrallah"|""|""|""|""|""
"Gone Tonight"|"Sarah Pekkanen"|"8"|"7"|"9"|"6|8"|"8"
"The Greatest Evil is War"|"Chris Hedges"|""|""|""|""|""
"A Queen of Ruin"|"K.F. Breene"|""|""|""|""|""
"All Hail"|"J.  Bree"|""|""|""|""|""
"The Heiress"|"Rachel Hawkins"|""|""|""|""|""
"The Butcher of the Bay: Part I"|"J.  Bree"|""|""|""|""|""
"Find You First"|"Linwood Barclay"|""|""|""|""|""
"Blood Bonds"|"J.  Bree"|""|""|""|""|""
"The Ruthless"|"J.  Bree"|""|""|""|""|""
"Things We Do in the Dark"|"Jennifer Hillier"|""|""|""|""|""
"Sunflower Sisters"|"Martha Hall Kelly"|"1"|"2"|"3"|"4|5|3|2|1"|"4"
"The Mistress of Bhatia House"|"Sujata Massey"|""|""|""|""|""
"Shadows of Pecan Hollow"|"Caroline   Frost"|""|""|""|""|""
"Happiness Falls"|"Angie  Kim"|""|""|""|""|""
"Take Your Breath Away"|"Linwood Barclay"|""|""|""|""|""
"Wings of Fury"|"Emily R. King"|""|""|""|""|""
"Savage Bonds"|"J.  Bree"|""|""|""|""|""
"Regressive"|"Angel Lawson"|""|""|""|""|""
"The Bread the Devil Knead"|"Lisa Allen-Agostini"|""|""|""|""|""
"It Ends With Violence"|"Elle Thorpe"|""|""|""|""|""
"Look Closer"|"David Ellis"|""|""|""|""|""
"Waco Rising: David Koresh, the FBI, and the Birth of America's Modern Militias"|"Kevin Cook"|""|""|""|""|""
"The Local"|"Joey  Hartstone"|""|""|""|""|""
"Love Marriage"|"Monica Ali"|""|""|""|""|""
"The Foundling"|"Ann Leary"|""|""|""|""|""
"Unholy Terrors"|"C.M. Stunich"|""|""|""|""|""
"Troubled: The Failed Promise of America's Behavioral Treatment Programs"|"Kenneth R. Rosen"|""|""|""|""|""
"F*ckboy Psychos"|"C.M. Stunich"|""|""|""|""|""
"What Happened to the Bennetts"|"Lisa Scottoline"|""|""|""|""|""
"Strange Sally Diamond"|"Liz Nugent"|""|""|""|""|""
"Northern Spy"|"Flynn Berry"|""|""|""|""|""
"Shadowed Heart"|"Candace Wondrak"|""|""|""|""|""
"Swamp Story"|"Dave Barry"|""|""|""|""|""
"The Incredible Winston Browne"|"Sean Dietrich"|""|""|""|""|""
"Mrs. Porter Calling"|"A.J. Pearce"|""|""|""|""|""
"The Glamourist"|"Luanne G. Smith"|"1"|"4"|"3"|"5|2"|"2"
"After the Fall: Being American in the World We've Made"|"Ben  Rhodes"|""|""|""|""|""
"A Stranger at the Door"|"Jason Pinter"|""|""|""|""|""
"Remarkably Bright Creatures"|"Shelby Van Pelt"|""|""|""|""|""
"Bell Hammers"|"Lancelot Schaubert"|""|""|""|""|""
"The Book of Lost Friends"|"Lisa Wingate"|""|""|""|""|""
"The Last Flight"|"Julie   Clark"|"8"|"7"|"9"|"8|7"|"7"
"All Boys Arent Blue"|"George M. Johnson"|"7"|"8"|"9"|"6|8|7|9"|"9"
"The Winners"|"Fredrik Backman"|""|""|""|""|""
"The Lincoln Highway"|"Amor Towles"|"8"|"7"|"9"|"6|7"|"7"
"The Sentence"|"Louise Erdrich"|"1"|"4"|"3"|"5|2"|"2"
"Code Name Hlne"|"Ariel Lawhon"|"1"|"2"|"3"|"4|5|3|2|1"|"5"
"The Travelers Within: Into The Unknown"|"Daniel Mode"|""|""|""|""|""
"The Charm Offensive"|"Alison Cochrun"|""|""|""|""|""
"Killers of a Certain Age"|"Deanna Raybourn"|""|""|""|""|""
"Ruthless Vows"|"Rebecca   Ross"|""|""|""|""|""
"Deathless Divide"|"Justina Ireland"|"8"|"9"|"7"|"8"|"8"
"The People We Keep"|"Allison Larkin"|""|""|""|""|""
"Matrix"|"Lauren Groff"|""|""|""|""|""
"The Dead Romantics"|"Ashley Poston"|""|""|""|""|""
"Bookshops & Bonedust"|"Travis Baldree"|""|""|""|""|""
"The Man Who Died Twice"|"Richard Osman"|""|""|""|""|""
"One Dark Window"|"Rachel Gillig"|""|""|""|""|""
"Troy"|"Stephen Fry"|""|""|""|""|""
"Empire of the Vampire"|"Bon Orthwick, Jay Kristoff"|"7"|"9"|"8"|"10|6|9|8"|"10"
"The Cartographers"|"Peng Shepherd"|""|""|""|""|""
"The Answer Is: Reflections on My Life"|"Alex Trebek"|"1"|"4"|"3"|"5|2|4|3"|"2"
"Horse"|"Geraldine Brooks"|""|""|""|""|""
"Monsters Born and Made"|"Tanvi Berwah"|""|""|""|""|""
"My Government Means to Kill Me"|"Rasheed Newson"|""|""|""|""|""
"Ember Queen"|"Laura Sebastian"|"8"|"7"|"9"|"8"|"8"
"The Heaven & Earth Grocery Store"|"James   McBride"|""|""|""|""|""
"Hotel Magnifique"|"Emily J. Taylor"|""|""|""|""|""
"Olga Dies Dreaming"|"Xchitl Gonzlez"|""|""|""|""|""
"Navigate Your Stars"|"Jesmyn Ward, Gina Triplett"|"1"|"2"|"3"|"4|5"|"5"
"Sin Eater"|"Megan Campisi"|""|""|""|""|""
"The Sun and the Star"|"Rick Riordan, Mark Oshiro"|""|""|""|""|""
"Lifes Too Short"|"Abby Jimenez"|""|""|""|""|""
"The Night Shift"|"Alex Finlay"|""|""|""|""|""
"Hani and Ishus Guide to Fake Dating"|"Adiba Jaigirdar"|""|""|""|""|""
"My Evil Mother"|"Margaret Atwood"|""|""|""|""|""
"All the Stars and Teeth"|"Shayna Small, Adalyn  Grace"|"1"|"4"|"3"|"5|2"|"2"
"Her Last Flight"|"Beatriz Williams"|"8"|"7"|"9"|"8|7"|"7"
"The Covenant of Water"|"Abraham   Verghese"|""|""|""|""|""
"All the Dangerous Things"|"Stacy Willingham"|""|""|""|""|""
"Leviathan Falls"|"James S.A. Corey"|"7"|"9"|"8"|"10|6|9|8|7"|"10"
"I Want You to Know Were Still Here: A Post-Holocaust Memoir"|"Esther Safran Foer"|"7"|"9"|"8"|"10|6|9|8"|"9"
"The Island of Missing Trees"|"Elif Shafak"|"7"|"8"|"9"|"6|5|8|7|9"|"6"
"The Kitchen Front"|"Jennifer    Ryan"|""|""|""|""|""
"The Woman in Me"|"Britney Spears"|""|""|""|""|""
"Vagina Problems"|"Lara  Parker"|""|""|""|""|""
"Imaginary Museums: Stories"|"Nicolette Polek"|""|""|""|""|""
"To Wake the Giant: A Novel of Pearl Harbor"|"Jeff Shaara"|""|""|""|""|""
"Demon in the Wood"|"Dani Pendergast, Leigh Bardugo"|""|""|""|""|""
"Maame"|"Jessica George"|""|""|""|""|""
"Gleam"|"Raven Kennedy"|""|""|""|""|""
"These Precious Days: Essays"|"Ann Patchett"|""|""|""|""|""
"Fateful Destiny: An Epic Struggle to Change the Course of American History"|"Marshall Anders"|""|""|""|""|""
"LOVE OVER CAPPUCCINO"|"Mansi Modi"|""|""|""|""|""
"Metaphysics of Sound"|"Nataa Pantovi"|""|""|""|""|""
"Pickard County Atlas"|"Chris Harding Thornton"|""|""|""|""|""
"All My Rage"|"Sabaa Tahir"|""|""|""|""|""
"The Likely Resolutions of Oliver Clock"|"Jane  Riley"|"8"|"7"|"9"|"6|7"|"7"
"Two Twisted Crowns"|"Rachel Gillig"|""|""|""|""|""
"Conjure Women"|"Afia Atakora"|"1"|"4"|"3"|"5|2|4|3"|"2"
"The Stardust Thief"|"Chelsea Abdullah"|""|""|""|""|""
"The Adventures of Amina al-Sirafi"|"Shannon Chakraborty"|""|""|""|""|""
"Clytemnestra"|"Costanza Casati"|""|""|""|""|""
"The Nineties"|"Chuck Klosterman"|""|""|""|""|""
"A Beautifully Foolish Endeavor"|"Hank Green"|"7"|"8"|"9"|"6|7"|"7"
"The Madness of Crowds"|"Louise Penny"|""|""|""|""|""
"Lady Tans Circle of Women"|"Lisa See"|""|""|""|""|""
"Seven Days in June"|"Tia Williams"|""|""|""|""|""
"Lords of Mercy"|"Samantha Rue, Angel Lawson"|""|""|""|""|""
"Lore Olympus: Volume Four"|"Rachel  Smythe"|""|""|""|""|""
"The House of Doors"|"Tan Twan Eng"|""|""|""|""|""
"What My Bones Know: A Memoir of Healing from Complex Trauma"|"Stephanie Foo"|""|""|""|""|""
"World of Wonders: In Praise of Fireflies, Whale Sharks, and Other Astonishments"|"Aimee Nezhukumatathil, Fumi Nakamura"|"7"|"9"|"8"|"6|10"|"10"
"House of Flame and Shadow"|"Sarah J. Maas"|""|""|""|""|""
"The Writing Retreat"|"Julia Bartz"|""|""|""|""|""
"Strange Hotel"|"Eimear McBride"|""|""|""|""|""
"Utopia Avenue"|"David Mitchell"|""|""|""|""|""
"Twilight of Democracy: The Seductive Lure of Authoritarianism"|"Anne Applebaum"|""|""|""|""|""
"Have You Seen Me?"|"Kate White"|""|""|""|""|""
"Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience"|"Gavin Aung Than, Bren Brown"|""|""|""|""|""
"The Bullet That Missed"|"Richard Osman"|""|""|""|""|""
"The Bandit Queens"|"Parini Shroff"|""|""|""|""|""
"The Violin Conspiracy"|"Brendan Slocumb"|""|""|""|""|""
"The Last Devil to Die"|"Richard Osman"|""|""|""|""|""
"Friends, Lovers, and the Big Terrible Thing"|"Lisa Kudrow, Matthew  Perry"|"8"|"7"|"9"|"8|7"|"7"
"When We Were Birds"|"Ayanna Lloyd Banwo"|""|""|""|""|""
"Big Swiss"|"Jen Beagin"|""|""|""|""|""
"Hester"|"Laurie Lico Albanese"|""|""|""|""|""
"The Real Anthony Fauci: Bill Gates, Big Pharma, and the Global War on Democracy and Public Health"|"Robert F. Kennedy Jr."|""|""|""|""|""
"The Forest of Vanishing Stars"|"Kristin Harmel"|"7"|"8"|"9"|"6|7|8|9"|"6"
"The Fortunes of Jaded Women"|"Carolyn Huynh"|""|""|""|""|""
"The Creation of Me, Them and Us"|"Heather  Marsh"|""|""|""|""|""
"Magic Claims"|"Ilona Andrews"|""|""|""|""|""
"Em"|"Kim Thy, Sheila Fischman"|""|""|""|""|""
"North Woods"|"Daniel       Mason"|""|""|""|""|""
"The Golden Enclaves"|"Naomi Novik"|""|""|""|""|""
"In an Instant"|"Suzanne Redfearn"|""|""|""|""|""
"A River Enchanted"|"Rebecca   Ross"|""|""|""|""|""
"Murder on Cold Street"|"Sherry Thomas"|"1"|"2"|"3"|"4|5"|"5"
"This Poison Heart"|"Kalynn  Bayron"|""|""|""|""|""
"Chain-Gang All-Stars"|"Nana Kwame Adjei-Brenyah"|""|""|""|""|""
"Well Matched"|"Jen DeLuca"|""|""|""|""|""
"The Wife Stalker"|"Liv Constantine"|""|""|""|""|""
"The Familiar Dark"|"Amy Engel"|""|""|""|""|""
"The Ferryman"|"Justin Cronin"|""|""|""|""|""
"Glint"|"Raven Kennedy"|""|""|""|""|""
"Let Us Descend"|"Jesmyn Ward"|""|""|""|""|""
"Our Woman in Moscow"|"Beatriz Williams"|""|""|""|""|""
"Fevered Star"|"Rebecca Roanhorse"|""|""|""|""|""
"Flamer"|"Mike Curato"|""|""|""|""|""
"The Last Graduate"|"Naomi Novik"|""|""|""|""|""
"Poverty, by America"|"Matthew Desmond"|""|""|""|""|""
"The Other Mrs."|"Mary Kubica"|""|""|""|""|""
"Violeta"|"Isabel Allende, Frances Riddle"|""|""|""|""|""
"Last Memoria"|"Rachel Emma Shaw"|""|""|""|""|""
"The Civil War of Amos Abernathy"|"Michael Leali"|""|""|""|""|""
"The Ice Cream Man and Other Stories"|"Sam Pink"|""|""|""|""|""
"The Dominant Animal"|"Kathryn Scanlan"|""|""|""|""|""
"The Bard's Blade"|"Brian D. Anderson"|"7"|"8"|"6"|"9|7"|"7"
"A Girl Like Me"|"Angela           Johnson, Nina Crews"|""|""|""|""|""
"A Day Like This"|"Kelley McNeil"|""|""|""|""|""
"Every Last Fear"|"Alex Finlay"|""|""|""|""|""
"In the Lives of Puppets"|"T.J. Klune"|""|""|""|""|""
"Safe No Longer"|"Gayle Curtis"|""|""|""|""|""
"Open Book"|"Kevin Carr O'Leary, Jessica Simpson"|""|""|""|""|""
"The Passing Playbook"|"Isaac Fitzsimons"|"9"|"8"|"7"|"9|8"|"8"
"On Vanishing: Mortality, Dementia, and What It Means to Disappear"|"Lynn Casteel Harper"|"1"|"4"|"5"|"3|2|4|5"|"5"
"The Gravity of Missing Things"|"Marisa  Urgo"|""|""|""|""|""
"Boy Parts"|"Eliza  Clark"|""|""|""|""|""
"Run Towards the Danger: Confrontations with a Body of Memory"|"Sarah Polley"|""|""|""|""|""
"The 23rd Midnight"|"James Patterson, Maxine Paetro"|""|""|""|""|""
"When Women Were Dragons"|"Kelly Barnhill"|""|""|""|""|""
"Stone Blind"|"Natalie Haynes"|""|""|""|""|""
"The Life That Mattered"|"Jewel E. Ann"|"8"|"7"|"9"|"9|8"|"8"
"Hollowpox: The Hunt for Morrigan Crow"|"Jim Madsen, Jessica Townsend"|""|""|""|""|""
"Go as a River"|"Shelley Read"|""|""|""|""|""
"Sweep of the Heart"|"Ilona Andrews"|""|""|""|""|""
"To The End"|"J.  Bree"|""|""|""|""|""
"Running Against the Devil: A Plot to Save America from Trump  And Democrats from Themselves"|"Rick    Wilson"|""|""|""|""|""
"Sharpe's Assassin"|"Bernard Cornwell"|""|""|""|""|""
"Afterlives"|"Abdulrazak Gurnah"|""|""|""|""|""
"Triple Cross"|"James Patterson"|""|""|""|""|""
"The Eagle's Claw"|"Jeff Shaara"|""|""|""|""|""
"Tiger Mosquitoes: A Medical Crime Thriller"|"Kenneth J. Stein"|""|""|""|""|""
"Soulswift"|"Megan Bannen"|""|""|""|""|""
"21st Birthday"|"James Patterson, Maxine Paetro"|""|""|""|""|""
"Easy Crafts for the Insane: A Mostly Funny Memoir of Mental Illness and Making Things"|"Kelly Williams Brown"|""|""|""|""|""
"These Silent Woods"|"Kimi Cunningham Grant"|"1"|"4"|"3"|"5|2"|"2"
"The Heartstopper Yearbook"|"Alice Oseman"|""|""|""|""|""
"A Billion Years: My Escape From a Life in the Highest Ranks of Scientology"|"Mike Rinder"|""|""|""|""|""
"Kate"|"Tate James"|""|""|""|""|""
"One Damn Thing After Another: Memoirs of an Attorney General"|"William P. Barr"|""|""|""|""|""
"All the Sinners Bleed"|"S.A. Cosby"|""|""|""|""|""
"Everything Beautiful in Its Time: Seasons of Love and Loss"|"Jenna Bush Hager"|""|""|""|""|""
"The Bear"|"Andrew Krivak"|""|""|""|""|""
"The 20th Victim"|"James Patterson, Maxine Paetro"|""|""|""|""|""
"A Shining"|"Jon Fosse, Damion Searls"|""|""|""|""|""
"Lost in the Moment and Found"|"Seanan McGuire"|""|""|""|""|""
"Our Wives Under the Sea"|"Julia Armfield"|""|""|""|""|""
"The Song of the Cell: An Exploration of Medicine and the New Human"|"Siddhartha Mukherjee"|"1"|"4"|"3"|"5|2|4|3"|"3"
"Lords of Wrath"|"Samantha Rue, Angel Lawson"|""|""|""|""|""
"Wandering Souls"|"Cecile Pin"|""|""|""|""|""
"My Killer Vacation"|"Tessa Bailey"|""|""|""|""|""
"All the Quiet Places"|"Brian Thomas Isaac"|""|""|""|""|""
"Emily Wilde's Encyclopaedia of Faeries"|"Heather Fawcett"|""|""|""|""|""
"The End of the Day"|"Bill Clegg"|""|""|""|""|""
"The River of Silver"|"S.A. Chakraborty"|"8"|"9"|"7"|"8|9"|"9"
"Calling for a Blanket Dance"|"Oscar Hokeah"|""|""|""|""|""
"Liar"|"Tate James"|""|""|""|""|""
"The Chaos Machine: The Inside Story of How Social Media Rewired Our Minds and Our World"|"Max Fisher"|""|""|""|""|""
"Letters to My Weird Sisters: On Autism and Feminism"|"Joanne Limburg"|""|""|""|""|""
"Magnolia Parks"|"Jessa Hastings"|""|""|""|""|""
"Bad Cree"|"Jessica Johns"|""|""|""|""|""
"Black Sunday"|"Tola Rotimi Abraham"|"8"|"7"|"9"|"8"|""
"Kent State"|"Deborah Wiles"|""|""|""|""|""
"The Sweeney Sisters"|"Lian Dolan"|""|""|""|""|""
"A Very Stable Genius: Donald J. Trump's Testing of America"|"Philip Rucker, Carol Leonnig"|""|""|""|""|""
"The Running Grave"|"Robert Galbraith"|""|""|""|""|""
"Ten Steps to Nanette: A Memoir Situation"|"Hannah Gadsby"|""|""|""|""|""
"One Italian Summer"|"Rebecca Serle"|""|""|""|""|""
"Victory at Prescott High"|"C.M. Stunich"|""|""|""|""|""
"Profiles in Ignorance: How America's Politicians Got Dumb and Dumber"|"Andy Borowitz"|"7"|"8"|"6"|"9|5"|"5"
"Monstrilio"|"Gerardo Smano Crdova"|""|""|""|""|""
"Emerald Blaze"|"Ilona Andrews"|"8"|"9"|"7"|"8|9"|"9"
"Kaikeyi"|"Vaishnavi Patel"|""|""|""|""|""
"Bittersweet: How Sorrow and Longing Make Us Whole"|"Susan Cain"|""|""|""|""|""
"In Ascension"|"Martin MacInnes"|""|""|""|""|""
"The Lies I Tell"|"Julie   Clark"|""|""|""|""|""
"River Sing Me Home"|"Eleanor Shearer, Debra Michaels"|""|""|""|""|""
"Miss Benson's Beetle"|"Rachel Joyce"|""|""|""|""|""
"Beyond the Wand: The Magic and Mayhem of Growing Up a Wizard"|"Tom Felton"|""|""|""|""|""
"Can the Monster Speak? A Report to an Academy of Psychoanalysts"|"Paul B. Preciado, Frank Wynne"|""|""|""|""|""
"Solito"|"Javier Zamora"|""|""|""|""|""
"Fake"|"Tate James"|""|""|""|""|""
"An Immense World: How Animal Senses Reveal the Hidden Realms Around Us"|"Ed Yong"|"1"|"4"|"3"|"5|2"|"2"
"Under The Great Elm: A Life of Luck & Wonder"|"Rich Flanders"|""|""|""|""|""
"The Wind Knows My Name"|"Isabel Allende, Francis Riddle"|""|""|""|""|""
"We Were Dreamers: An Immigrant Superhero Origin Story"|"Simu Liu"|"7"|"8"|"9"|"6|7|8|9"|"6"
"Hate"|"Tate James"|""|""|""|""|""
"Bombshell"|"Sarah MacLean"|""|""|""|""|""
"Sparring Partners"|"John Grisham"|""|""|""|""|""
"A Good Marriage"|"Kimberly McCreight"|"8"|"7"|"9"|"8|7"|"7"
"Once Upon an Eid"|"Hanna Alkaf, Sara Alfageeh, Hena Khan, N.H. Senzai, Candice Montgomery, S.K. Ali, Ayesha Mattu, Randa Abdel-Fattah, G. Willow Wilson, Ashley Franklin, Aisha Saeed, Huda Al-Marashi, Jamilah Thompkins-Bigelow, Rukhsana Khan, Asmaa Hussein"|"

1"|"9"|"2"|"8|3|9|4|7|5|6"|"8"
"Where the Line Breaks"|"Michael  Burrows"|""|""|""|""|""
"Kill Order"|"Tate James"|""|""|""|""|""
"New from Here"|"Kelly Yang"|""|""|""|""|""
"The House of Kennedy"|"Cynthia Fagen, James Patterson"|"1"|"2"|"3"|"4|5|3|2|1"|"4"
"The Latinist"|"Mark Prins"|""|""|""|""|""
"Lords of Pain"|"Samantha Rue, Angel Lawson"|""|""|""|""|""
"Perhaps the Stars"|"Ada Palmer"|""|""|""|""|""
"Part of Your World"|"Abby Jimenez, Zachary Webber, Julia  Whelan"|""|""|""|""|""
"The Wonder Boy of Whistle Stop"|"Fannie Flagg"|""|""|""|""|""
"Ejaculate Responsibly: A Whole New Way to Think About Abortion"|"Gabrielle Stanley Blair"|""|""|""|""|""
"The Wager: A Tale of Shipwreck, Mutiny and Murder"|"David Grann"|""|""|""|""|""
"Mothered"|"Zoje Stage"|""|""|""|""|""
"22 Seconds"|"James Patterson, Maxine Paetro"|""|""|""|""|""
"Something Wilder"|"Christina Lauren"|""|""|""|""|""
"The Mermaid of Black Conch"|"Monique Roffey"|""|""|""|""|""
"Peril"|"Bob Woodward, Robert Costa"|"1"|"2"|"3"|"4|5|3|2|1"|"4"
"School Trip"|"Jerry Craft"|""|""|""|""|""
"Dead Drop"|"Tate James"|""|""|""|""|""
"The Children's Blizzard"|"Melanie Benjamin"|"8"|"7"|"9"|"9"|""
"Lost Hills"|"Lee Goldberg"|""|""|""|""|""
"Stuck with You"|"Ali Hazelwood"|""|""|""|""|""
"True Biz"|"Sara Novi"|""|""|""|""|""
"A Private Cathedral"|"James Lee Burke"|""|""|""|""|""
"No Cure for Being Human: And Other Truths I Need to Hear"|"Kate Bowler"|""|""|""|""|""
"Rednecks"|"Taylor  Brown"|""|""|""|""|""
"A Dance with the Fae Prince"|"Elise Kova"|""|""|""|""|""
"Pride of Eden"|"Taylor  Brown"|""|""|""|""|""
"Layover"|"Emily Henry"|""|""|""|""|""
"Watercress"|"Jason Chin, Andrea Wang"|""|""|""|""|""
"Find Me in Havana"|"Serena  Burdick"|""|""|""|""|""
"I Hope This Finds You Well: Poems"|"Kate Baer"|""|""|""|""|""
"Trans: When Ideology Meets Reality"|"Helen  Joyce"|""|""|""|""|""
"Meet Me at the Lake"|"Carley Fortune"|"8"|"7"|"9"|"8|7"|"7"
"Kings of Anarchy"|"Susanne Valenti, Caroline Peckham"|""|""|""|""|""
"A Sunlit Weapon"|"Jacqueline Winspear"|""|""|""|""|""
"King of Battle and Blood"|"Scarlett St.  Clair"|""|""|""|""|""
"The Governess"|"Wendy  Holden"|""|""|""|""|""
"Officer Clemmons"|"Franois S. Clemmons"|""|""|""|""|""
"A Treacherous Tale"|"Elizabeth Penney"|""|""|""|""|""
"Seven Perfect Things"|"Catherine Ryan Hyde"|"8"|"7"|"9"|"9|7"|"7"
"Did Ye Hear Mammy Died? A Memoir"|"Samas O'Reilly"|""|""|""|""|""
"Chronicles from the Land of the Happiest People on Earth"|"Wole Soyinka"|""|""|""|""|""
"Sisters of the Lost Nation"|"Nick Medina"|""|""|""|""|""
"Undercover Epicenter Nurse: How Fraud, Negligence, and Greed Led to Unnecessary Deaths at Elmhurst Hospital"|"Erin Marie Olszewski, J.B. Handley"|""|""|""|""|""
"Beyond That, the Sea"|"Laura Spence-Ash"|""|""|""|""|""
"The Murder of Mr. Wickham"|"Claudia Gray"|""|""|""|""|""
"Cartier's Hope"|"M.J. Rose"|""|""|""|""|""
"All the Frequent Troubles of Our Days: The True Story of the American Woman at the Heart of the German Resistance to Hitler"|"Rebecca Donner"|""|""|""|""|""
"The Dirty South"|"John Connolly"|""|""|""|""|""
"The Daughter of Doctor Moreau"|"Silvia Moreno-Garcia"|""|""|""|""|""
"From The Foster House To The White House"|"Terrence Williams"|""|""|""|""|""
"The Vaster Wilds"|"Lauren Groff"|""|""|""|""|""
"The Deep: We all know the story of the Titanic . . . don't we?"|"Alma Katsu"|""|""|""|""|""
"Travelers Along the Way: A Robin Hood Remix"|"Aminah Mae Safi"|""|""|""|""|""
"A Most English Princess: A Novel of Queen Victoria's Daughter"|"Clare McHugh"|""|""|""|""|""
"The Many Daughters of Afong Moy"|"Jamie Ford"|""|""|""|""|""
"Kings of Quarantine"|"Susanne Valenti, Caroline Peckham"|""|""|""|""|""
"After Annie"|"Anna Quindlen"|""|""|""|""|""
"The Nurse's Secret"|"Amanda Skenandore"|""|""|""|""|""
"The Hotel Nantucket"|"Elin Hilderbrand"|""|""|""|""|""
"So Many Beginnings: A Little Women Remix"|"Bethany C. Morrow"|""|""|""|""|""
"The Lost Boys of London"|"Mary Lawrence"|""|""|""|""|""
"Figure It Out"|"Wayne Koestenbaum"|""|""|""|""|""
"The Glass Magician"|"Caroline Stevermer"|""|""|""|""|""
"The Duke of Diamonds"|"Emily Windsor"|""|""|""|""|""
"The Renascent World"|"Carryn W. Kerr"|""|""|""|""|""
"I Am Not Your Slave: A Memoir"|"Chris Lockhart, Tupa Tjipombo"|""|""|""|""|""
"Sunbathing I Want To"|"Nicholas Dolinger"|""|""|""|""|""
"Unseen City"|"Amy Shearn"|""|""|""|""|""
"A Necessary Blessing"|"Sarah Head"|""|""|""|""|""
"The Salon of Exiled Artists in California: Salka Viertel took in actors, prominent intellectuals and anonymous people in exile fleeing from Nazism"|"Joannes W. M. Groenewege, Nria A"|""|""|""|""|""
"The Portrait of a Mirror"|"A. Natasha Joukovsky"|""|""|""|""|""
"Before Familiar Woods"|"Ian Pisarcik"|""|""|""|""|""
"The Briarmen"|"Joseph A. Chadwick"|""|""|""|""|""
"The House of Dust"|"Noah Broyles"|""|""|""|""|""
"Bad Best Friend"|"Rachel Vail"|""|""|""|""|""
"Deianira Queen of Laires Rellik"|"Lorenzo James"|""|""|""|""|""
"Redeeming Justice: From Defendant to Defender, My Fight for Equity on Both Sides of a Broken System"|"Jarrett Adams"|""|""|""|""|""
"Flock"|"Kate  Stewart"|""|""|""|""|""
"Innate Magic"|"Shannon Fay"|""|""|""|""|""
"Live Yet Another Day"|"Niveditha Praveen"|""|""|""|""|""
"In Search of a Prince"|"Toni Shiloh"|""|""|""|""|""
"Afterlift"|"Allison O'Toole, Paris Alleyne, Jason Loo, Aditya Bidikar, Chip Zdarsky"|""|""|""|""|""
"The Alpha's Son"|"Penny Jessup"|""|""|""|""|""
"Stealing Infinity"|"Alyson Noel"|""|""|""|""|""
"The Family Roe: An American Story"|"Joshua Prager"|""|""|""|""|""
"The Goddess of Nothing At All"|"Cat Rector"|""|""|""|""|""
"The Old Coal Miner's Lamp"|"Vicky Peplow"|"1"|"4"|"3"|"2|5"|"5"
"MUTTS"|"Olivia Pritchard"|""|""|""|""|""
"Under a Veiled Moon"|"Karen Odden"|""|""|""|""|""
"Existential Physics: A Scientist's Guide to Life's Biggest Questions"|"Sabine Hossenfelder"|""|""|""|""|""
"Not in Search of Love"|"Kashish  Aggarwal"|""|""|""|""|""
"The End of Men"|"Christina Sweeney-Baird"|"1"|"2"|"3"|"4|5|1|2|3"|"5"
"She Chose to Love"|"Yvette Dulo"|""|""|""|""|""
